"county","tract","cbsa20","CountyName","CBSAName20","pop20","afact"
"County code","Tract","Core-based statistical area code","County name","2020 CBSA name","Total population (2020 Census)","tract-to-cbsa20 allocation factor"
"11001","0079,03","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",1865,1 
"11001","0080,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3103,1 
"11001","0080,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3366,1 
"11001","0081,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3153,1 
"11001","0082,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2695,1 
"11001","0083,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3220,1 
"11001","0083,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3026,1 
"11001","0084,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2447,1 
"11001","0084,10","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",1843,1 
"11001","0087,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2814,1 
"11001","0087,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3574,1 
"11001","0088,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4360,1 
"11001","0088,03","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4036,1 
"11001","0088,04","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2417,1 
"11001","0089,03","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3062,1 
"11001","0089,04","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3137,1 
"11001","0090,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4676,1 
"11001","0091,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4608,1 
"11001","0092,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3103,1 
"11001","0092,03","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2775,1 
"11001","0092,04","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2889,1 
"11001","0093,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3853,1 
"11001","0093,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",1750,1 
"11001","0094,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4424,1 
"11001","0095,03","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3106,1 
"11001","0095,04","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3208,1 
"11001","0095,05","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3796,1 
"11001","0095,07","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",1525,1 
"11001","0095,08","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4243,1 
"11001","0095,09","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3194,1 
"11001","0095,10","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4525,1 
"11001","0095,11","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2066,1 
"11001","0096,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2086,1 
"11001","0096,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4481,1 
"11001","0096,03","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3971,1 
"11001","0096,04","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",1996,1 
"11001","0097,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3188,1 
"11001","0098,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",1848,1 
"11001","0098,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2064,1 
"11001","0098,03","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2968,1 
"11001","0098,04","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2517,1 
"11001","0098,07","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3523,1 
"11001","0098,10","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2461,1 
"11001","0098,11","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4438,1 
"11001","0099,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2364,1 
"11001","0099,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2774,1 
"11001","0099,03","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2004,1 
"11001","0099,04","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2886,1 
"11001","0099,05","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2790,1 
"11001","0099,06","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",1773,1 
"11001","0099,07","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2259,1 
"11001","0101,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2699,1 
"11001","0102,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3341,1 
"11001","0102,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2631,1 
"11001","0103,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3604,1 
"11001","0104,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4616,1 
"11001","0105,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3712,1 
"11001","0106,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2130,1 
"11001","0106,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",6594,1 
"11001","0106,03","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3068,1 
"11001","0107,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2296,1 
"11001","0108,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",6879,1 
"11001","0109,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3333,1 
"11001","0110,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2423,1 
"11001","0110,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",1859,1 
"11001","0111,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",5903,1 
"11001","9800,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",176,1 
